Station,x,y,coastal,blue,green,red,nir08,coastal_n,blue_n,green_n,red_n,nir08_n,datetime,eo:cloud_cover,proj:epsg,view:sun_azimuth,view:sun_elevation
1,327000.0,4122570.0,0.024348055555555553,0.032892407407407405,0.06085719135802469,0.05451453703703703,0.009852839506172835,81,81,81,81,81,2023-03-16T15:46:47.795568Z,0.03,32618,146.45373401,45.52506582
2,353490.0,4114650.0,0.042270586419753085,0.055994444444444444,0.08730574074074073,0.07953648148148149,0.05323765432098765,81,81,81,81,81,2023-04-26T15:40:10.710784Z,15.98,32618,137.68638835,60.08308114
3,340260.0,4120440.0,,,,,,0,0,0,0,0,2023-04-26T15:40:10.710784Z,15.98,32618,137.68638835,60.08308114
4,333870.0,4120530.0,,,,,,0,0,0,0,0,2023-04-26T15:40:10.710784Z,15.98,32618,137.68638835,60.08308114
